Title,Date,Date Start,Date End,Language,Resource Type,Genre,Number of Items
Chicagoan,1926,1926,1935,English,text,Periodicals,8
William Frey papers,1860,1860,1888,English | Russian,text | still image,diaries | Correspondence | Documents,2
Four bacchanales,1763,1763,,,still image,Etchings,4
Dendérah : description générale du grand temple de cette ville,1870,1870,1880,,still image,Books | Prints,355
"Voice of the press on the New York Arcade Railway, 115 Broadway. 1886.",1886,1886,,,still image,Wood engravings,5
Samuel Putnam Avery Collection,,,,,still image,Prints,3252
"Tobacco, its history illustrated by the books, manuscripts, and engravings in the library of George Arents, Jr. : together with an introductory essay, a glossary and bibliographic notes",1937,1937,1952,English,text,Catalogs | Books,2
"Voyage en Perse de mm. Eugène Flandin, peintre, et Pascal Coste, architecte, entrepris par ordre de m. le ministre des affaires étrangères, d'après les instructions dressées par l'Institut. Publié sous les auspices de m. le ministre de l'intérieur.",1851,1851,1854,,still image,Prints,346
Changing New York,"1935-1939, printed 1935-ca. 1990",1935,,,still image,Photographs,344
"Zoology of New York; or, The New York fauna  [Series: Natural history of New York]",1842,1842,1844,,still image,Prints,336
"Series of advertising cards issued by Arbuckle Bros. Coffee Company, each consisting of a map of a country of the world with related illustrations.",1889,1889,,,,,5
Brush and pencil; an illustrated magazine of the arts of today,1897,1897,1907,English,text | still image,Periodicals | Illustrated periodicals,1
Photographs of the Catskill water supply system in process of construction.,"1906-1917, assembled 1918?",1906,,,still image,,310
Rhetorica,1715,1715,,,text,,306
"""The Pageant of America"" Collection",1860,1860,1920,,still image,Photographs,6
"The World's loose leaf album of apartment houses,...",1910,1910,,,still image,,304
Apartment houses of the metropolis.,1908,1908,,,,,301
Photographs of British algae: cyanotype impressions,1843,1843,1853,,still image,Cyanotypes,285
Farm Security Administration Collection.,,,,,,Photographs,219
United States Sanitary Commission records,1861,1861,1872,,mixed material,Archival materials | Documents,254
"Catalogue 'G,' Illustrating the Plumbing and Sanitary Department   of the J.L. Mott Iron Works.",1888,1888,,,still image,Wood engravings | Catalogs,262
"The Holy Land, Syria, Idumea, Arabia, Egypt and Nubia. From drawings made on the spot by David Roberts ... With historical descriptions by the Revd. George Croly ... Lithographed by Louis Haghe.",1842,1842,1849,,still image,Prints,252
Billy Rose Theatre Collection scripts,,,,English,text,Typescripts,26
Progressive architecture,1920,1920,1995,English,,Periodicals,4
"Robert Morris papers, 1751-1802",1751,1751,1802,,,Documents | Correspondence | Auction catalogs,2
California gardens,1931,1931,,English,still image | text,Books,5
GM folks,1938,1938,,English,text | still image,Periodicals,1
Notable New Yorkers of 1896-1899 : a companion volume to King's handbook of New York City.,1899,1899,,English,still image | text,Books | Portraits | biographies,28
Scientific American (Architects and building edition),1885,1885,1901,English,text | still image,Periodicals,3
"Travels through Central Africa to Timbuctoo; and across the Great Desert, to Morocco, performed in the years 1824-1828. Vol I & II",1830,1830,,,still image,,5
"A general description of the people of Africa, including a more  particular account of the manners, customs, and curiosities, of  the inhabitants of Egypt, Barbary, Morocco, Guinea, Congo, Cape  of Good Hope, Madagascar, and Abyssinia. For the instruction of  youth. With engravings. By the Rev. J. Goldsmith ... [pseud.]",1810,1810,,,still image,,5
Maps of Africa,,,,,,,2
"Negro neighbors, bond and free; lessons in history and humanity.",1907,1907,,,still image,Halftone photomechanical prints,5
"The history of the feminine costume of the world, from the year 5318 B.C. to our century.",1926,1926,1927,,still image,Books | Illustrations,234
J. G. Holland papers,1843,1843,1881,English,text,Correspondence | Documents,4
"Das heilige Land nach seiner ehemaligen und jetzigen geographischen eschaffenheit, nebst kritischen Blicken in das Carl v. Raumer'sche ""Palästina.""",1852,1852,,,still image,,5
"Map of the hydrographical basin of the upper Mississippi River : from astronomical and barometrical observations, surveys and information",1842,1842,,,,,6
"Narrative of a voyage in His Majesty's late ship Alceste, to the Yellow Sea ... with an account of her shipwreck in the straits of Gaspar.",1817,1817,,,still image,Engravings,6
The Illustrated London news,1842,1842,2003,English,text | still image,Periodicals,1
"Obadiah Rich collection, 1450-1843.",,,,,,,1
"A history of the colonization of Africa by alien races, by Sir Harry H. Johnston ... With eight maps by the author and J.G. Bartholomew.",1899,1899,,,still image,,6
Nueva corónica y buen gobierno,1980,1980,,Spanish | Quechua,still image | text,Manuscripts,6
Theatre magazine.,Oct. 1900-Apr. 1931,1900,,,,,1
The Architectural review,1891,1891,,English,still image | text,Periodicals,1
Comœdia illustré.,1908,1908,1921,,,,1
